현미찹쌀밥,,멸치김치찌개,,닭다리알감자조림,,딸기파이,우유,키위,연근땅콩조림,깻잎지,3
쌀밥,,물만두국,,,,배추김치,우유,스크램블드에그,연근땅콩조림,삼색소시지볶음,3
쌀밥,,오이냉국,,오리불고기,콩나물맛살냉채,배추김치,참나물,,리쪼,,2
검정콩밥,,애호박된장찌개,바나나,,,배추김치,상추겉절이,,모듬잡채,두부구이/양념장,3
현미찹쌀밥,,맑은콩나물국,,,우리밀딸기잼파이,배추김치,우유,오이생채,낙지볶음,호두아몬드볶음,3
쌀밥,오이생채,근대된장국,,,오리훈제야채무침,배추김치,,방울토마토,감자채볶음,,2
쌀밥,,유부된장국,,치즈등심돈까스/데리소스,실곤약무침,배추김치,돌스위티오파인주스,과일샐러드,,,2
쌀밥,,, 치즈,양상치,햄구이,배추김치,우유,김구이,어묵볶음,크로와상,2
낙지야채비빔밥,,북어무채국,,,실곤약무침,배추김치,,,메론샤벳,오렌지,3
옥수수밥,,,,닭개장,,백김치,삼치구이,검은깨올방개묵,오이고추,딸기파이,2
,,전복죽/양념장,배추김치,,참나물미나리무침,메추리알장조림,우유,사과,,,3
삼겹살김치볶음밥,,팽이된장국,,,,깍두기,,수박,엔요,미니메이플피칸파이,3
현미찹쌀밥,,조랭이떡국,,,,참치김치볶음,모듬장조림,깍두기,죽순버섯볶음,오렌지,3
밸런스라이스업,,시레기된장국,,,초코머핀,가자미김치조림,우유,궁중왕만두,깍두기,사과,3
클로렐라쌀밥,,문어두부국,고추잡채/꽃빵,고등어자반구이,콩나물무침,배추김치,,,방울토마토,,3
쌀밥,멜론,,,,배추김치,꽈리건새우볶음,상추겉절이,돈육메추리알장조림,등뼈감자탕,,2
쌀밥,,버섯전골,우유,,취나물된장무침,총각김치,파프리카해물완자전,,요거트푸딩,블루파이,3
카레라이스,,달걀파국,,,,배추김치,우리쌀호두파이,과일샐러드,엔요,,2
쌀밥,,돈육김치찌개,,,도토리묵무침,깍두기,,불낙볶음,리쪼,겨울초겉절이,3
현미찹쌀밥,,단호박수제비국,,우리밀딸기잼파이,우유,배추김치,함박스테이크,함박스테이크소스,오징어젓갈,방울토마토,2
날치알김치볶음밥,,다시마미소국,달걀후라이,,,총각김치,오미자주스,방울토마토,핫도그,,2
쌀밥,,해물된장국,,떡양념치킨,도토리묵무침,배추김치,상추겉절이,,,,2
흑미찹쌀밥,우유,,,,,배추김치,오이부추생채,바나나,연두부/양념장,사리곰탕,2
,물냉면,,,,,총각김치,,방울토마토,엔요,미니메이플피칸파이,2
쌀밥,배추김치,감자두부된장국,,고등어자반구이,,,,브로컬리/초고추장,순대야채볶음,,3
쌀밥,,북어달걀국,,,콩나물무침,참치김치볶음,우유,비엔나토마토,석박지,비엔나꽈리볶음,3
쌀밥,수박,애호박된장찌개,,,,검은깨찐두부/돈육김치볶음,,,깍두기,상추겉절이,3
현미찹쌀밥,,맑은콩나물국,,,참나물미나리무침,돈등뼈김치찜,요플레,총각김치,사과,아삭이고추/쌈장,3
쌀밥,,쇠고기미역국,,,파프리카해물완자전,배추김치,우유,감자햄볶음,오징어젓갈,사과,2
토마코펜라이스업밥,,동태국,,,도라지 진미무침,배추김치,,참외,연두부/양념장,비빔만두,3
뿌리채소밥,,,,수제치킨버거,,깍두기,,,구트,방울토마토,2
쌀밥,,근대된장국,애플파이,,배추김치,우유,마늘쫑어묵볶음,삼치구이,사과,,3
곤드레나물밥,,시레기된장국,,,콩나물맛살냉채,배추김치,요플레,과일샐러드,,,3
쌀밥,,방아멸치시락국,,,숙주나물,배추김치,우유,칼슘깻잎육전,베이컨감자채볶음,바나나,2
단호박카레라이스,,달걀파국,,,,배추김치,돌스위티오파인주스,미니메이플피칸파이,야채어묵조림,,2
쌀밥,사과,다시마미소국,식빵피자토스트,갑오징어야채무침,취나물된장무침,배추김치,햄,,,콘달걀찜,3
쌀밥,,돈육김치찌개,,,콩나물무침,배추김치,우유,포크소시지야채볶음,,연두부/양념장,3
흑미찹쌀밥,,북어달걀국,,,,배추김치,무생채,참외,달걀장조림,모듬잡채,3
뿌리채소밥,파인애플소르베,,,,,깍두기,우동,,사과,,1
흑미찹쌀밥,,쇠고기미역국,,,,배추김치,우유,돈육메추리알장조림,오이생채,마늘쫑어묵볶음,2
쌀밥,,애호박된장찌개,,오리불고기,상추겉절이,배추김치,요플레,,,연근조림,2
쌀밥,,청국장찌개,,돼지수육,무말랭이무침,배추김치,,,,양파와사비절임,2
쌀밥,,북어달걀국,치즈케이크,숯불떡갈비야채볶음,,배추김치,우유,,브로컬리/초고추장,오징어젓갈,3
자장라이스,,달걀파국,오꼬노미야끼,,,깍두기,,사과,엔요,,2
쌀밥,,,,,,배추김치,오이생채,후르츠탕수육,메론,등뼈감자탕,2
쌀밥,,어묵국,,고등어자반구이,,배추김치,우유,궁중떡볶이,바나나,오이생채,3
쌀밥,,감자국,,돼지갈비떡찜,시금치나물,배추김치,골뱅이무침/사리,,참외,,3
쌀밥,오징어볶음,부대찌개,,,콩나물무침,배추김치,,모듬잡채,,오징어볶음,2
흑미찹쌀밥,,,,딸기우유,애플파이,배추김치,오이생채,바나나,연두부/양념장,곰탕,3
날치알김치볶음밥,,맑은콩나물국,,후라이드닭다리,,깍두기,요구르트,양상추샐러드,,친환경멜론,3
쌀밥,,쇠고기미역국,,닭야채볶음,애호박나물,배추김치,,,사과,오꼬노미야끼,2
쌀밥,,애호박된장찌개,,,사과,배추김치,우유,감자채볶음,비엔나야채볶음,오징어젓갈,3
잡곡밥,,조랭이떡국,삼치구이,,,깍두기,브로컬리/초고추장,참외,,모듬잡채,3
쌀밥,,동태국,,,오이무침,배추김치,김말이튀김,바나나,,달걀떡볶이,3
현미찹쌀밥,비엔나토마토,북어무채국,,,콩나물무침,배추김치,우유,낙지볶음,햄구이,,3
쌀밥,,문어두부국,,등갈비폭립,,배추김치,감자채볶음,양상추샐러드,파인애플,,3
카레라이스,,달걀파국,우리쌀호두파이,,,배추김치,과일샐러드,엔요,,,2
현미찹쌀밥,,단호박수제비국,우리밀딸기잼파이,방울토마토,함박스테이크소스,배추김치,함박스테이크,오징어젓갈,단호박수제비국,,2
현미찹쌀밥,알감자버터구이,쇠고기미역국,,닭야채볶음,취나물된장무침,배추김치,,엔요,양배추,,3
자장라이스,,달걀양파국,,,실곤약무침,배추김치,,바나나,단무지,후르츠탕수육,2
쌀밥,,북어달걀국,,,시금치나물,돈육김치볶음,우유,깍두기,사과,연두부/양념장,3
돈육콩나물밥/양념장,,시레기된장국,,떡양념치킨,,배추김치,,미숫가루,친환경멜론,오이생채,2
꽁보리밥,,청국장찌개,,돼지수육,숙주나물,배추김치,양파와사비절임,비엔나토마토,상추/쌈장,,3
,,전복죽/양념장,,,참나물미나리무침,배추김치,우유,메추리알장조림,사과,,2
